product_id,product_category,product_brand,product_name,img,rating,description,price,quantity
1,Conditioner,Butter London,Handbag Holiday Cutile Oil,img_egg_product6538.webp,3,"With added vitamins A and E, this heavenly-smelling oil revives and restores dry, split cuticles.",74.53,67
2,Face Care,Butter London,LIPPY,img_bee_product4907.webp,3,"Lippy: British slang for someone who makes impertinent or cheeky remarks. Introducing a range of long-wearing, lacquer-like lip glosses in shades to match the famous butter LONDON nail lacquers. From the punchy fuchsia pink of Primrose Hill to the true nude of Yummy Mummy, a hue to complement any look. All butter LONDON products are free of formaldehyde, bismuth, toluene, sulphates, DBP, parabens, synthetic fragrances.",58.13,68
3,Conditioner,Butter London,Hardwear P.D. Quick Top Coat,img_nut_product9611.webp,4,"Lock your lacquer. butter LONDON's quick-dry, ultra-glossy topcoat protects your lacquer, extending the life of your manicure.",72.94,98
4,Face Care,Butter London,Horse Power Nail Fertilizer,img_cos_product8505.webp,2,"Reap what you sow. butter LONDON's Nail Fertilizer harnesses horsetailâ€”a powerful herb rich in nutrients, high in silica and proven to grow nails. Incredible results in just one month.",62.48,73
5,Hairstyling,Butter London,Kitten Heels Powder Finish Foot Creme,img_mak_product9253.webp,4,"Kitten Heels, our miraculous Powder Finish Foot Creme, instantly hydrates, yet leaves a soft, powder finish to help keep your feet dry andÂ silky.",10.88,87
6,Shampoos,Butter London,Matte Finish Top Coat,img_oli_product4133.webp,3,"Created by butter LONDON's very own Nonie Creme at New York Fashion Week, Matte Finishâ„¢ has become the talk of the season! Create a new look for every lacquer using this shine-free topcoat. Turns any color matte, flat and utterly beautiful.",7.32,49
7,Face Care,Butter London,Melt Away Cuticle Eliminator,img_hot_product6813.webp,5,"Out with the old, as they say. Melt Away breaks down and softens dead skin cells for gentle cuticle removal, eliminating the need to nip.",32.16,26
8,Face Care,Butter London,Nail File,img_wed_product11014.webp,1,"The butter LONDON Nail File is made from a soft 180 grit that ensures nails are snag-free and never damaged. The unique shape is ergonomically designed to fit the curve of your natural nail, making shaping easy peasy and perfect every time. This is a handbag essential!",37.82,51
9,Hairstyling,Butter London,Nail Foundation Flawless Base Coat,img_bar_product1294.webp,1,"Makeup for your nails. This silk-finish, stain-resistant, non-toxic basecoat provides the perfect foundation for butter LONDON 3 Free Lacquer. Matte results so beautiful, you can wear it alone.",67.68,8
10,Conditioner,Butter London,Nail Lacquer,img_win_product1682.webp,1,"butter LONDON is a 3 Free company. Our nail lacquer and lip gloss contain NO Formaldehyde, NO Toluene, NO DBP, and NEVER have.",38.76,53
